"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0101-10800,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-10801,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-10802,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-10803,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-10804,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-13153,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-13154,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-13155,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-13156,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-13157,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14226,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14233,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14240,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14650,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14651,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14822,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14823,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14824,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14825,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14829,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14830,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14831,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14832,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14833,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14836,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14837,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14838,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14839,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14840,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14916,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14917,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14918,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14919,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0101-14920,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
